Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-09-2023,EQ,"2,440.05","2,451.00","2,432.05","2,457.85","2,434.00","2,436.45","2,442.35","2,630.95","2,399.90","37,58,150","9,17,87,15,239.40","1,35,713"
15-09-2023,EQ,"2,468.00","2,468.00","2,449.50","2,453.30","2,452.50","2,457.85","2,458.32","2,630.95","2,399.90","1,27,34,296","31,30,49,96,690.80","1,72,228"
14-09-2023,EQ,"2,460.00","2,465.80","2,445.00","2,451.05","2,456.00","2,453.30","2,454.20","2,630.95","2,399.90","46,04,818","11,30,11,41,212.65","2,59,706"
13-09-2023,EQ,"2,440.00","2,462.65","2,426.25","2,438.85","2,450.10","2,451.05","2,451.78","2,630.95","2,399.90","64,01,669","15,69,54,91,695.65","1,53,034"
12-09-2023,EQ,"2,483.00","2,483.00","2,435.95","2,474.60","2,437.00","2,438.85","2,451.73","2,630.95","2,399.90","81,27,833","19,92,72,45,602.50","2,30,277"
11-09-2023,EQ,"2,452.00","2,476.85","2,452.00","2,448.20","2,473.05","2,474.60","2,468.87","2,630.95","2,399.90","66,35,537","16,38,22,49,910.10","2,16,515"
08-09-2023,EQ,"2,440.00","2,456.00","2,422.95","2,432.00","2,451.00","2,448.20","2,435.83","2,630.95","2,399.90","1,15,54,644","28,14,51,73,638.30","2,03,161"
07-09-2023,EQ,"2,421.70","2,438.25","2,411.00","2,428.70","2,431.00","2,432.00","2,424.86","2,630.95","2,399.90","68,26,286","16,55,27,69,825.75","1,76,371"
06-09-2023,EQ,"2,421.10","2,436.15","2,417.25","2,423.60","2,426.35","2,428.70","2,427.46","2,630.95","2,399.90","41,00,185","9,95,30,29,723.50","1,68,907"
05-09-2023,EQ,"2,420.00","2,433.95","2,412.45","2,410.70","2,426.00","2,423.60","2,423.22","2,630.95","2,399.90","43,37,938","10,51,17,62,468.35","1,60,296"
04-09-2023,EQ,"2,412.65","2,423.65","2,405.30","2,412.65","2,411.05","2,410.70","2,413.56","2,630.95","2,399.90","46,73,813","11,28,05,12,429.60","1,67,154"
01-09-2023,EQ,"2,406.55","2,425.65","2,401.65","2,407.00","2,411.40","2,412.65","2,413.40","2,630.95","2,399.90","90,56,421","21,85,67,99,694.25","2,85,753"
31-08-2023,EQ,"2,423.00","2,425.00","2,399.90","2,418.05","2,408.00","2,407.00","2,410.24","2,630.95","2,399.90","1,08,19,300","26,07,70,96,813.90","2,63,614"
30-08-2023,EQ,"2,432.00","2,443.00","2,415.00","2,420.35","2,419.40","2,418.05","2,426.59","2,630.95","2,408.15","60,84,473","14,76,45,44,103.55","2,20,096"
29-08-2023,EQ,"2,452.05","2,453.45","2,408.15","2,443.75","2,422.00","2,420.35","2,425.23","2,630.95","2,408.15","84,38,322","20,46,48,39,388.10","3,19,838"
28-08-2023,EQ,"2,472.00","2,484.00","2,431.10","2,468.35","2,436.95","2,443.75","2,465.38","2,630.95","2,431.10","62,90,413","15,50,82,40,986.20","2,48,985"
25-08-2023,EQ,"2,456.00","2,505.00","2,442.60","2,479.80","2,461.90","2,468.35","2,475.31","2,630.95","2,442.60","1,11,11,200","27,50,36,65,768.50","3,09,987"
24-08-2023,EQ,"2,539.90","2,539.90","2,471.00","2,522.20","2,475.80","2,479.80","2,505.26","2,630.95","2,458.05","70,70,010","17,71,22,28,152.35","2,77,360"
23-08-2023,EQ,"2,524.20","2,542.85","2,516.95","2,519.40","2,518.20","2,522.20","2,528.38","2,630.95","2,458.05","47,58,976","12,03,25,00,977.45","1,86,890"
22-08-2023,EQ,"2,516.90","2,537.95","2,499.00","2,520.00","2,523.00","2,519.40","2,522.49","2,630.95","2,458.05","38,56,522","9,72,80,35,039.30","2,34,127"
21-08-2023,EQ,"2,539.95","2,555.45","2,515.65","2,556.80","2,519.50","2,520.00","2,528.76","2,630.95","2,458.05","46,10,873","11,65,97,93,136.25","1,86,604"
18-08-2023,EQ,"2,531.25","2,577.60","2,508.55","2,538.00","2,551.05","2,556.80","2,543.13","2,630.95","2,458.05","93,19,989","23,70,19,83,763.10","2,93,106"
17-08-2023,EQ,"2,567.10","2,578.10","2,532.85","2,575.15","2,534.05","2,538.00","2,550.82","2,630.95","2,458.05","68,36,872","17,43,96,52,935.65","3,05,866"
16-08-2023,EQ,"2,551.00","2,582.80","2,551.00","2,577.25","2,571.95","2,575.15","2,568.15","2,630.95","2,458.05","51,01,556","13,10,15,45,280.60","1,57,128"
14-08-2023,EQ,"2,539.00","2,582.30","2,525.00","2,547.15","2,573.20","2,577.25","2,563.04","2,630.95","2,458.05","47,87,906","12,27,15,88,459.95","2,48,402"
11-08-2023,EQ,"2,532.45","2,558.85","2,512.35","2,536.45","2,542.00","2,547.15","2,535.53","2,630.95","2,458.05","1,10,89,665","28,11,82,25,498.75","2,47,074"
10-08-2023,EQ,"2,524.95","2,550.00","2,508.45","2,525.20","2,536.00","2,536.45","2,533.24","2,630.95","2,458.05","77,35,299","19,59,53,55,860.30","2,57,586"
09-08-2023,EQ,"2,504.85","2,529.00","2,481.10","2,508.65","2,522.00","2,525.20","2,499.68","2,630.95","2,458.05","57,43,293","14,35,63,84,371.85","2,69,092"
08-08-2023,EQ,"2,528.00","2,534.45","2,499.55","2,523.85","2,503.75","2,508.65","2,514.67","2,630.95","2,458.05","49,22,036","12,37,72,91,186.25","1,99,690"
07-08-2023,EQ,"2,521.00","2,528.40","2,505.00","2,509.55","2,523.50","2,523.85","2,518.85","2,630.95","2,458.05","29,91,435","7,53,49,73,865.10","1,44,288"
04-08-2023,EQ,"2,498.80","2,516.00","2,471.60","2,475.90","2,508.00","2,509.55","2,497.26","2,630.95","2,458.05","1,14,42,805","28,57,56,03,699.10","2,92,077"
03-08-2023,EQ,"2,475.30","2,500.90","2,458.05","2,486.35","2,474.50","2,475.90","2,474.27","2,630.95","2,458.05","50,84,175","12,57,96,30,763.10","2,27,047"
02-08-2023,EQ,"2,509.20","2,512.00","2,463.60","2,513.20","2,484.05","2,486.35","2,485.51","2,630.95","2,463.60","63,74,107","15,84,29,03,032.05","3,30,411"
01-08-2023,EQ,"2,555.00","2,559.00","2,505.30","2,549.25","2,517.70","2,513.20","2,524.85","2,630.95","2,469.30","47,68,316","12,03,92,88,137.45","1,98,132"
31-07-2023,EQ,"2,527.85","2,553.90","2,517.95","2,527.85","2,546.00","2,549.25","2,540.69","2,630.95","2,469.30","42,75,587","10,86,29,27,967.25","1,69,076"
28-07-2023,EQ,"2,512.05","2,542.85","2,500.55","2,502.70","2,528.20","2,527.85","2,518.80","2,630.95","2,469.30","1,04,13,926","26,23,06,15,302.10","3,33,806"
27-07-2023,EQ,"2,534.05","2,537.65","2,490.35","2,526.20","2,515.00","2,502.70","2,509.19","2,630.95","2,469.30","86,13,449","21,61,28,19,116.55","2,99,635"
26-07-2023,EQ,"2,485.00","2,547.00","2,485.00","2,485.80","2,526.00","2,526.20","2,526.43","2,630.95","2,469.30","64,55,506","16,30,93,70,484.50","2,55,390"
