Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-10-2022,2397,2416.95,2363.5,2374.3,2386.462052,228998,16312,546495037,75361,32.91,53.45,-22.7
30-09-2022,2318,2401.15,2315,2377.7,2369.513505,251390,23226,595672000,106593,42.4,86.15,59.7
29-09-2022,2358,2367.75,2313.55,2325.3,2343.954008,191249,17781,448278860,114972,60.12,54.2,-32.7
28-09-2022,2365.1,2378.4,2327.85,2332.1,2355.540516,249075,20903,586706254,142662,57.28,50.55,-33
27-09-2022,2395,2425.75,2360.15,2395.4,2393.208169,420283,27061,1005824709,227032,54.02,65.6,0.4
26-09-2022,2404,2417.65,2375.5,2377.5,2393.645621,130939,14925,313421564,71301,54.45,42.15,-26.5
23-09-2022,2485.5,2495.05,2435.2,2439.35,2454.65619,110625,12730,271546341,54475,49.24,59.85,-46.15
22-09-2022,2482.9,2502.65,2472.55,2485.9,2488.491827,88397,10302,219975212,35752,40.44,30.1,3
21-09-2022,2501.85,2534,2495.7,2509.25,2515.894345,74857,8609,188332303,19148,25.58,38.3,7.4
20-09-2022,2525,2537.2,2495.85,2502.05,2522.637006,93423,8957,235672317,38510,41.22,41.35,-22.95
19-09-2022,2499.2,2521.9,2481.6,2502.35,2499.561183,2963131,16024,7406527229,2867216,96.76,40.3,3.15
